case,location,date,shootings
Mercy Hospital shooting,Illinois,2018-11,1
Thousand Oaks nightclub shooting,California,2018-11,1
Tree of Life synagogue shooting,Pensylvania,2018-10,1
Rite Aid warehouse shooting,Maryland,2018-09,1
T&T Trucking shooting,California,2018-09,1
Fifth Third Center shooting,Ohio,2018-09,1
Capital Gazette shooting,Maryland,2018-06,1
Santa Fe High School shooting,Texas,2018-05,1
Waffle House shooting,Tennessee,2018-04,1
Yountville veterans home shooting,California,2018-03,1
Marjory Stoneman Douglas High School shooting,Florida,2018-02,1
Pennsylvania carwash shooting,Pensylvania,2018-01,1
Rancho Tehama shooting spree,California,2017-11,1
Texas First Baptist Church massacre,Texas,2017-11,1
Walmart shooting in suburban Denver,Colorado,2017-11,1
Edgewood businees park shooting,Maryland,2017-10,1
Las Vegas Strip massacre,Nevada,2017-10,1
San Francisco UPS shooting,California,2017-06,1
Pennsylvania supermarket shooting,Pensylvania,2017-06,1
Florida awning manufacturer shooting,Florida,2017-06,1
Rural Ohio nursing home shooting,Ohio,2017-05,1
Fresno downtown shooting,California,2017-04,1
Fort Lauderdale airport shooting,Florida,2017-01,1
Cascade Mall shooting,Washington,2016-09,1
Baton Rouge police shooting,Louisianna,2016-07,1
Dallas police shooting,Texas,2016-07,1
Orlando nightclub massacre,Florida,2016-06,1
Excel Industries mass shooting,Kansas,2016-02,1
Kalamazoo shooting spree,Michigan,2016-02,1
San Bernardino mass shooting,California,2015-12,1
Planned Parenthood clinic,Colorado,2015-11,1
Colorado Springs shooting rampage,Colorado,2015-10,1
Umpqua Community College shooting,Oregon,2015-10,1
Chattanooga military recruitment center,Tennessee,2015-07,1
Charleston Church Shooting,South Carolina,2015-06,1
Trestle Trail bridge shooting,Wisconsin,2015-06,1
Marysville-Pilchuck High School shooting,Washington,2014-10,1
Isla Vista mass murder,California,2014-05,1
Fort Hood shooting 2,Texas,2014-04,1
Alturas tribal shooting,California,2014-02,1
Florida awning manufacturer shooting,Florida,2013-07,1
Santa Monica rampage,California,2013-06,1
Pinewood Village Apartment shooting,Washington,2013-04,1
Mohawk Valley shootings,New York,2013-03,1
Sandy Hook Elementary massacre,Connecticut,2012-12,1
Accent Signage Systems shooting,Minnesota,2012-09,1
Sikh temple shooting,Wisonsin,2012-08,1
Aurora theater shooting,Colorado,2012-07,1
Seattle cafe shooting,Washington,2012-05,1
Oikos University killings,California,2012-04,1
Su Jung Health Sauna shooting,Georgia,2012-02,1
Seal Beach shooting,California,2012-11,1
IHOP shooting,Nevada,2011-09,1
Tucson shooting,Arizona,2011-01,1
Hartford Beer Distributor shooting,Connecticut,2010-08,1
